,success,success,success,success,success,success,success,total_score,total_score,total_score,total_score,total_score,total_score,total_score
category,Algorithmic,Constraint Density,Contextual Memory,Data Structure,Domain-Specific,Nesting Depth,Scalability,Algorithmic,Constraint Density,Contextual Memory,Data Structure,Domain-Specific,Nesting Depth,Scalability
model,,,,,,,,,,,,,,
falcon3:10b,0.5333333333333333,1.0,0.6666666666666666,0.2,0.5,1.0,0.4,0.31511333333333336,0.26527142857142855,0.19515000000000002,0.28975,0.3083625,0.2196125,0.33118
gemma3:12b,0.5333333333333333,1.0,0.6666666666666666,0.6,0.875,1.0,0.8,0.34601333333333334,0.4023428571428571,0.1939,0.35236999999999996,0.3239625,0.2922625,0.43004
llama3.2-vision:11b,0.6,1.0,0.6666666666666666,0.3,0.75,0.75,0.6,0.31506,0.3350285714285714,0.15451666666666666,0.306,0.3320375,0.25577500000000003,0.31484
phi3:14b,0.2,1.0,0.3333333333333333,0.0,0.25,0.5,0.0,0.24510666666666667,0.3581714285714286,0.09581666666666667,0.21481,0.188375,0.1542875,0.27618
qwen2.5-coder:14b,0.8666666666666667,0.8571428571428571,0.3333333333333333,0.7,0.75,0.875,0.8,0.34125333333333335,0.37042857142857144,0.13701666666666665,0.32673,0.3423875,0.3067875,0.39198
qwen2.5-coder:3b,0.13333333333333333,0.0,0.3333333333333333,0.4,0.375,0.875,0.0,0.31982,0.27552857142857146,0.18428333333333333,0.28617,0.3688125,0.17695,0.34678
qwen2.5-coder:7b,0.5333333333333333,1.0,0.6666666666666666,0.7,0.5,0.875,0.2,0.3154666666666667,0.3314714285714286,0.14131666666666667,0.33802000000000004,0.31865,0.2723,0.38072
qwen_merged_final_model,0.4,1.0,0.8,0.5,0.5,1.0,0.0,0.29692,0.31348571428571426,0.19908,0.31792,0.3404125,0.27455,0.34006
